Pattern,Count
NN ,0.4870668618838458
NNS ,0.12933138116154222
JJ ,0.1273792093704246
NN NN ,0.07027818448023426
JJ NN ,0.04782820888238165
VBG ,0.019521717911176184
JJ NNS ,0.016105417276720352
NN NNS ,0.015617374328940947
CD ,0.009272816007808687
IN ,0.00634455832113226
NNS NN ,0.00634455832113226
VB ,0.004880429477794046
JJ VBG ,0.004392386530014641
NN JJ ,0.004392386530014641
VBP ,0.003904343582235237
NN VBG ,0.003416300634455832
DT ,0.0029282576866764276
JJ JJ ,0.0029282576866764276
RB ,0.0029282576866764276
VBZ ,0.002440214738897023
VBN ,0.0019521717911176184
CC ,0.0019521717911176184
VBP NN ,0.0019521717911176184
VBD ,0.0014641288433382138
VBN NN ,0.0014641288433382138
JJ NN NN ,0.0014641288433382138
TO ,0.0009760858955588092
VBN NNS ,0.0009760858955588092
NNS JJ ,0.0009760858955588092
VBG NN ,0.0009760858955588092
NN IN NN ,0.0009760858955588092
JJ NN NNS ,0.0009760858955588092
VB NNS ,0.0004880429477794046
VB NN ,0.0004880429477794046
JJ RP ,0.0004880429477794046
TO NN ,0.0004880429477794046
NNS VBP ,0.0004880429477794046
JJ TO VB ,0.0004880429477794046
RBS ,0.0004880429477794046
IN IN ,0.0004880429477794046
VBP IN ,0.0004880429477794046
CC NNS ,0.0004880429477794046
NNP ,0.0004880429477794046
NNP NNS ,0.0004880429477794046
NN TO NN ,0.0004880429477794046
NN NN NN NN ,0.0004880429477794046
NNS VB ,0.0004880429477794046
JJ NN JJ ,0.0004880429477794046
VBP VBG ,0.0004880429477794046
VBP VB ,0.0004880429477794046
JJ VBG NN ,0.0004880429477794046
NN VBZ ,0.0004880429477794046
PDT ,0.0004880429477794046
JJ JJ NN ,0.0004880429477794046
JJ NNS NN ,0.0004880429477794046
PRP VB ,0.0004880429477794046
NN NN IN NN ,0.0004880429477794046
IN JJ NN ,0.0004880429477794046
NN NN NN ,0.0004880429477794046
RB NN ,0.0004880429477794046
NN JJ NN ,0.0004880429477794046
VB JJ ,0.0004880429477794046
RB JJ ,0.0004880429477794046
MD ,0.0004880429477794046
IN NN ,0.0004880429477794046
NN CC ,0.0004880429477794046
