Pattern,Count
NN ,0.32597402597402597
NNS ,0.15844155844155844
NN NN ,0.14675324675324675
NN NNS ,0.09350649350649351
JJ NN ,0.07922077922077922
JJ NNS ,0.06623376623376623
JJ ,0.05064935064935065
NNS NN ,0.00909090909090909
VBG NNS ,0.007792207792207792
VBG ,0.007792207792207792
NN VBG ,0.005194805194805195
VB ,0.003896103896103896
RB ,0.003896103896103896
NN JJ NNS ,0.003896103896103896
CC DT ,0.0025974025974025974
VBN NNS ,0.0025974025974025974
JJ JJ NNS ,0.0025974025974025974
VB NN ,0.0025974025974025974
JJ NN NNS ,0.0025974025974025974
NN NN NNS ,0.0025974025974025974
NN NN NN ,0.0025974025974025974
JJ VBG ,0.0025974025974025974
CC ,0.0012987012987012987
VBD JJ ,0.0012987012987012987
JJ JJ ,0.0012987012987012987
JJS NN ,0.0012987012987012987
NN IN NNS ,0.0012987012987012987
MD ,0.0012987012987012987
VB RB ,0.0012987012987012987
NN CC NN ,0.0012987012987012987
IN ,0.0012987012987012987
NN IN ,0.0012987012987012987
NN RB ,0.0012987012987012987
NN IN NN ,0.0012987012987012987
NN VB ,0.0012987012987012987
