Pattern,Count
NN ,0.19047619047619047
NN NN ,0.12565634618866559
JJ NN ,0.12488683686402317
JJ NNS ,0.08111533586818757
NNS ,0.06644939344559117
NN NNS ,0.059478544269418794
JJ NN NN ,0.043545174723881946
JJ ,0.038475466232120226
NN NN NN ,0.024986420423682782
JJ NN NNS ,0.023537932283179432
JJ JJ NN ,0.0169292051421329
JJ JJ NNS ,0.012040557667934094
VBG ,0.011089987325728771
NN NN NNS ,0.010863661053775122
JJ NN NN NN ,0.0069255839217816405
NNS NN ,0.005929748325185588
JJ JJ NN NN ,0.005431830526887561
NN VBG ,0.005431830526887561
VBG NN ,0.005024443237370994
VBG NNS ,0.004662321202245157
JJ VBG ,0.004119138149556401
NN JJ NN ,0.003983342386384212
JJ NN NN NNS ,0.0033043635705232665
JJ JJ ,0.002942241535397429
IN ,0.002942241535397429
JJ JJ NN NNS ,0.002670650009053051
CD ,0.002353793228317943
JJ NNS NN ,0.0023085279739272135
VB NN ,0.0022632627195364836
NN JJ NNS ,0.0021727322107550242
VB ,0.0021727322107550242
NN NN NN NN ,0.0021727322107550242
NN VBG NN ,0.002082201701973565
NN JJ ,0.0020369364475828354
VBN NNS ,0.0019011406844106464
NNS NNS ,0.0017200796668477277
NN IN NN ,0.0015842839036755386
JJ NN VBG ,0.001539018649284809
VBZ ,0.0014484881405033496
NN NNS NN ,0.0014484881405033496
NN IN ,0.0014032228861126199
VBN NN ,0.0014032228861126199
NN VBZ ,0.0013126923773311605
CC ,0.0013126923773311605
VB NNS ,0.0012674271229404308
JJ VBG NN ,0.0012221618685497012
NN NN VBG ,0.0012221618685497012
VBG NN NN ,0.0010863661053775121
JJ VBG NNS ,0.0010863661053775121
RB JJ NN ,0.0010411008509867824
NN VBG NNS ,0.0010411008509867824
RB JJ NNS ,0.0010411008509867824
VBN NN NN ,0.0010411008509867824
JJ NN JJ NN ,0.0008600398334238638
JJ JJ JJ NN ,0.0008600398334238638
NN JJ NN NN ,0.0008600398334238638
VBN NN NNS ,0.0008600398334238638
VBN ,0.0007695093246424045
JJ VBZ ,0.0007695093246424045
CD NN ,0.0007242440702516748
JJ NN VBG NN ,0.0007242440702516748
VBD ,0.0007242440702516748
IN NN ,0.0007242440702516748
JJ JJ JJ NNS ,0.0007242440702516748
NN NN NN NNS ,0.0007242440702516748
JJ NN JJ ,0.0006789788158609451
VBD NNS ,0.0006789788158609451
JJ NNS NNS ,0.0006337135614702154
NN NN VBZ ,0.0006337135614702154
NNS IN NN ,0.0006337135614702154
NN VB ,0.0006337135614702154
VBD NN ,0.0006337135614702154
NN IN NNS ,0.0006337135614702154
JJR NN ,0.0006337135614702154
JJ NN NN NN NN ,0.0005884483070794857
RB VBN NNS ,0.0005884483070794857
NNS NN NN ,0.0005884483070794857
JJ JJ NN NN NN ,0.0005431830526887561
JJ NN VBZ ,0.0005431830526887561
