Pattern,Count
NN ,0.31375349980001144
NNS ,0.1164504885435118
JJ ,0.10130849665733387
VBN ,0.053654076909890866
VBG ,0.05268270384549454
VBD ,0.049254328324095764
VB ,0.037769270327409864
JJ NN ,0.03285526541340495
NN NN ,0.021770184560882234
RB ,0.01948460087994972
VBZ ,0.015027712702131307
CD ,0.014227758413804926
VBP ,0.010742243300382835
JJ NNS ,0.009542311867893264
NN NNS ,0.00948517227586995
IN ,0.0056568196103079825
NN IN ,0.003428375521398777
JJR ,0.0033140963373521513
CD NNS ,0.0029141191931889607
JJ NN NN ,0.002571281641049083
VBG NN ,0.002457002457002457
DT ,0.002228444088909205
RB JJ ,0.0021713044968858924
CD NN ,0.0021713044968858924
NN VBD ,0.0019998857208159532
VBG NNS ,0.0017141877606993885
RB VBN ,0.0017141877606993885
NNS VBD ,0.0017141877606993885
NN NN NN ,0.0016570481686760757
JJS ,0.0016570481686760757
DT NN ,0.0016570481686760757
VB NN ,0.0015999085766527628
NN VBG ,0.0014856293926061369
CC ,0.0014284898005828238
JJ JJ ,0.0014284898005828238
NN RB ,0.0013142106165361979
NN VBN ,0.001257071024512885
IN NN ,0.001257071024512885
NNS NN ,0.001199931432489572
NNS IN ,0.001142791840466259
NN JJ ,0.001142791840466259
JJ NN NNS ,0.001142791840466259
NNS NNS ,0.0010856522484429462
NN VBZ ,0.0010856522484429462
NNS VBG ,0.0010285126564196331
VBN NN ,0.0010285126564196331
RB VBD ,0.0009713730643963202
WP ,0.0009713730643963202
JJ JJ NN ,0.0009713730643963202
JJR NN ,0.0009142334723730072
NNS VBN ,0.0009142334723730072
VB JJ ,0.0009142334723730072
VBG JJ ,0.0008570938803496943
VB NNS ,0.0007999542883263814
VBD NN ,0.0007999542883263814
JJS NN ,0.0006856751042797555
RBR ,0.0006856751042797555
NNS VBP ,0.0006285355122564425
DT NNS ,0.0006285355122564425
VBD NNS ,0.0006285355122564425
NNS JJ ,0.0006285355122564425
NN NN NNS ,0.0006285355122564425
VB IN ,0.0005713959202331295
RB VB ,0.0005713959202331295
