Pattern,Count
NN ,0.2085181898846495
NN NN ,0.19831410825199644
JJ NN ,0.11313220940550132
NNS ,0.04835847382431233
JJ NNS ,0.04791481810115351
NN NNS ,0.03371783496007098
JJ NN NN ,0.030612244897959183
NN NN NN ,0.026619343389529725
JJ ,0.025288376220053237
NN VBG ,0.016415261756876662
VBG ,0.015084294587400177
JJ VBG ,0.013753327417923691
VBG NN ,0.01020408163265306
NNS NN ,0.009760425909494233
NN NN NNS ,0.0075421472937000885
NN IN NN ,0.006654835847382431
JJ NN NNS ,0.005767524401064774
NN JJ ,0.005323868677905945
JJ NN NN NN ,0.0048802129547471165
VBN NN ,0.0048802129547471165
VBG NNS ,0.0044365572315882874
JJ JJ NN ,0.003992901508429458
VB NN ,0.00354924578527063
VB ,0.00354924578527063
NNS NNS ,0.00354924578527063
NN VBN NN ,0.003105590062111801
NN VB ,0.003105590062111801
JJ JJ ,0.003105590062111801
VBD NN ,0.003105590062111801
JJ NN VBG ,0.0026619343389529724
NN NN VBG ,0.0026619343389529724
NN VBG NN ,0.0026619343389529724
VBN NNS ,0.0026619343389529724
JJ JJ NNS ,0.0026619343389529724
NN JJ NN ,0.0022182786157941437
NN CC NN ,0.0022182786157941437
NN NN CC NN ,0.0022182786157941437
NN JJ NNS ,0.001774622892635315
VBD NNS ,0.001774622892635315
JJ JJ NN NN ,0.001774622892635315
VBN NN NN ,0.001774622892635315
VBN ,0.001774622892635315
VBZ ,0.001774622892635315
JJ NN JJ ,0.001774622892635315
VBG NN NN ,0.0013309671694764862
NN IN JJ NN ,0.0013309671694764862
NN VBP ,0.0013309671694764862
NN NN NN NN ,0.0013309671694764862
JJ NNS VBG ,0.0013309671694764862
JJ NN IN NNS ,0.0013309671694764862
RB NN ,0.0013309671694764862
VBP NN ,0.0013309671694764862
JJ VB ,0.0013309671694764862
JJ VBZ ,0.0013309671694764862
JJ NN JJ NN ,0.0008873114463176575
NN IN VBG JJ ,0.0008873114463176575
JJ NN VBG NN ,0.0008873114463176575
VBP ,0.0008873114463176575
