Pattern,Count
NN ,0.2788104089219331
JJ ,0.1524163568773234
NNS ,0.09479553903345725
NN NN ,0.08550185873605948
JJ NNS ,0.06133828996282528
JJ NN ,0.05390334572490706
NN NNS ,0.04275092936802974
NN CC NN ,0.013011152416356878
VBG ,0.013011152416356878
CC ,0.013011152416356878
JJ NN NNS ,0.011152416356877323
IN ,0.011152416356877323
NN CC ,0.00929368029739777
NNS IN ,0.00929368029739777
IN NN ,0.007434944237918215
NN VBG ,0.007434944237918215
NN JJ ,0.0055762081784386614
VB NN ,0.0055762081784386614
NN IN NN ,0.0055762081784386614
NNS IN NNS ,0.0037174721189591076
JJ CC JJ ,0.0037174721189591076
CC NN ,0.0037174721189591076
NNS CC NN ,0.0037174721189591076
NNS CC JJR NNS ,0.0037174721189591076
VB ,0.0037174721189591076
JJ CC NN ,0.0037174721189591076
NN NN NNS ,0.0037174721189591076
JJ VBG ,0.0037174721189591076
VBN NNS ,0.0037174721189591076
JJR NNS ,0.0037174721189591076
NN IN NNS ,0.0037174721189591076
VBZ ,0.0037174721189591076
NN NN IN DT NN ,0.0018587360594795538
NN IN NN NN IN ,0.0018587360594795538
NN NN NN NN ,0.0018587360594795538
NN IN NN NNS ,0.0018587360594795538
VB NN IN NNS ,0.0018587360594795538
RB ,0.0018587360594795538
JJ IN NNS ,0.0018587360594795538
JJ JJ NNS ,0.0018587360594795538
VBG CC NN NNS ,0.0018587360594795538
VBN NN ,0.0018587360594795538
IN JJ ,0.0018587360594795538
NNS CC ,0.0018587360594795538
NN NNS IN NN ,0.0018587360594795538
JJ NNS CC ,0.0018587360594795538
NN NN IN NNS ,0.0018587360594795538
NN NN NN ,0.0018587360594795538
VBD NN ,0.0018587360594795538
RB NN NN ,0.0018587360594795538
RB NN ,0.0018587360594795538
NN IN JJ ,0.0018587360594795538
NNS IN NN NN ,0.0018587360594795538
JJ NN IN ,0.0018587360594795538
NN NN CC NN ,0.0018587360594795538
JJ NN IN NNS ,0.0018587360594795538
VBN CC NN ,0.0018587360594795538
NN VBZ ,0.0018587360594795538
VBN ,0.0018587360594795538
VBG JJ NNS ,0.0018587360594795538
NN NN CC ,0.0018587360594795538
IN : ,0.0018587360594795538
NN IN NN IN ,0.0018587360594795538
NNS IN NN ,0.0018587360594795538
JJ NN NN NNS ,0.0018587360594795538
VBG IN ,0.0018587360594795538
VBD ,0.0018587360594795538
JJ NN CC ,0.0018587360594795538
RBS ,0.0018587360594795538
NN IN ,0.0018587360594795538
